Wie is sinds jaar en dag de beschermheilige van de stad Mechelen?;Sint-Rombout
Welke klassieke componist staat in de Klara top 100 met ‘Goldbergvariaties’? We zoeken de volledige naam. ;Johan Sebastian Bach
Op welke specifieke manier overleed Charlie Parker?;Overdosis
Hoeveel provincies telt België? (Enkel een cijfer);10
Welke klassieke componist staat in de Klara top 100 met ‘De Parelvissers’? We zoeken voor- en familienaam.;Georges Bizet
Hoe heette de missie die Neil Armstrong in 1969 op de maan heeft gezet?;Apollo 11
Een pinguïn kan 1 meter hoog springen. Welk zoogdier kan, in tegenstelling tot de pinguïn, zijn voeten niet van de grond krijgen en dus ook niet springen?;Olifant
Wat is de naam van de Franse schoenenontwerper die bekend werd dankzij de schoenen met de rode zolen? We zoeken naam én voornaam.;Christian Louboutin
In welk spel zit onder andere, 10 pionnen, 16 kans-kaarten en twee dobbelstenen?;Monopoly
Wie is, naast Gert Verhulst en Danny Verbiest, de derde mede-oprichter van Studio 100? We zoeken voor- en achternaam!;Hans Bourlon
Welke vloeistof gebruik je zeker als je stoofvlees wilt maken?;Bier
Welke rol speelde Fred van Kuyk in de reeks Mega mindy?;Opa Fonkel
Wie schreef het meesterwerk ‘King Lear’ in het jaar 1608? We zoeken voor- en familienaam.;William Shakespeare
Welke Geert maakte voor Canvas het programma ‘Econoshock 2.0′? We zoeken voor- en familienaam.;Geert Noels
Wat is de voornaam van de vader van Alexander De Croo ?;Herman
Welke nationaliteit hebben de meeste mensen die op Corsica wonen?;Frans
Welke typische kleur hebben de bloemblaadjes van de papaver ?;Rood
In welke vlaamse stad werd in 1512 de cartograaf Mercator geboren?;Rupelmonde
Welke vlaamse zangeres heet in het echte leven Chantal Vanlee?;Dana Winner
In welke Waalse provincie ligt de dierentuin van Pairi Daiza?;Henegouwen
Vul de titel van het boek van Gabriel García Márquez aan. Honderd jaar..;Eenzaamheid
Wie schreef de klassieker ‘Lof der Zotheid’?;Erasmus
Welke vogelsoort zingt volgens vlamingen steeds ‘suskewiet’?;Vink
In welk land leefde Gabriel Garcia Marquez?;Colombia
Kbc is een fusie van twee banken: Cera en ?;Kredietbank
Welke amerikaanse rocker was in 2013 de hoofdact op TW classic? We zoeken voor- en familienaam.;Bruce Springsteen
Welke kleur hebben de vakbondsvlaggen van het ACLVB?;Blauw
Van welk koningshuis is de Koh-i-noor een van de belangrijkste kroonjuwelen?;Britse
In 1986 werd Olaf Palme vermoord. Van welk land was hij premier?;Zweden
Welk land van de Europese Unie (EU) heeft de grootste opppervlakte?;Frankrijk
Van welke krant is Peter Vandermeersch hoofdredacteur?;NRC handelsblad
Welke vogel zit verborgen in het woord ‘burgemeestersvrouw’?;mees
Welke muzikant uit de Marollen ontving in 2007 de Klara Carriereprijs? We zoeken voor- en familienaam.;Toots Thielemans
Wat is het beroep van Panoramix uit de Asterix-reeks?;Druïde
Welke beroep had  Clement Peerens in het Leugenpaleis?;Popkenner
Wie won in 2014 de Ronde van Frankrijk? We zoeken voor- en achternaam.;Vincenzo Nibali
Wie werd in de zomer van 12014 minister-president van de vlaamse regering? We zoeken voor- en familienaam.;Geert Bourgeois
In welke vlaamse stad liggen het achiel van Ackerplein en het Biskajerplein?;Brugge
Wie speelde in de kinderreeks ‘Samson en Gert’ de rol van Alberto? We zoeken voor- en achternaam.;Koen Crucke
Welke Britse zanger heet eigenlijk Gordon Summer?;Sting
Van welk Japans automerk zijn de Verso en de Carina gekende modellen?;Toyota
Welke Armand presenteerde 37 jaar lang het nieuws op de radio en televisie?;Pien
Wie registreerde de film Saving Private Ryan? We zoeken voor- en achternaam.;Steven Spielberg
Hoeveel ogen kunnen er maximaal op één dominosteen staan?(Enkel een cijfer);12
Welke maand ligt zowel in de herfst als in de winter?;December
In welke maand van 2012 vonden de gemeenteraadsverkiezingen in België plaats?;Oktober
In 1997 werd Gella Vandecaveye Belgisch sportvrouw van het jaar. In welke discipline?;Judo
Hoeveel boeken heeft een heptagoon?(Enkel een cijfer);7
Hoe heet de dierentuin waar sinds begin 2014 twee panda’s verblijven?;pairi Daiza
Welke maand ligt net als januari volledig in de winter?;Februari
Welke Nicole speelde het hoofdpersonage in ‘Dogville’ een film van Lars Von Trier? We zoeken voor- en familienaam.;Nicole Kidman
Hoeveel spiegelassen kan je in een gelijkzijdige driehoek tekenen?(Enkel een cijfer);3
Welke bank gebruikt een oranje leeuw in haar publiciteit?;ING
Welke Meryl kreeg de oscar voor beste vrouwlijke bijrol voor haar rol in ‘Kramer vs. Kramer’? We zoeken voor- en familienaam.; Meryl Streep
Welke lichaamsdeel zit verborgen in de woordgroep ‘centrale verwarming’?;Arm
In welke vlaamse stad wordt Vitalski aanzien als de nachtburgemeester?;Antwerpen
In welk Europees land wordt Carlsberg gebrouwen?;Denemarken
Welke kleur heeft de judo-gordel die volgt na de witte, gele en de oranje gordel?;groen
Vul aan: het Nederlands Simplistisch verbond bestond uit Koot en.. ?;Bie
Welke nederlandse politicus werd door Volkert van der G. vermoord?;Pim Fortuyn
Wat is op een digitale klok het laatste cijfer om kwart over drie ‘s middags?(Enkel een cijfer);5
In welke maand wordt het feest van Maria Lichtmis gevierd?;Februari
Hoe heet de heldin van het computerspel ‘Tom Raider’?;Lara Croft
Welke getal is, na zeven, het kleinst oneven veelvoud van zeven?(Enkel een cijfer);21
van welk voetbalploeg is ‘Den Dreef’ het voetbalstadion?;Leuven
Wie concipieerde in 1893 het wereldberoemd schilderij ‘De schreeuw’?;Edvard Munch
Welke Marieke won goud op de 200 meter wheelen tijdens de Paralympics van 2012?;Marieke Vervoort
Welke Amerikaanse stad heeft een luchthaven met als drieletterige code ‘LAX’?;Los Angeles
In welke vlaamse stad startte in 2014 de Ronde van Vlaanderen?;Brugge
In welke buurland van België is Müller de meest voorkomende familienaam?;Duitsland
Welke Vlaamse schrijver had een langdurige relatie met Sylvia Kristel?;Hugo Claus
Wat is het belangrijkste ingrediënt van Sake?;Rijst
Wat was de voornaam van de Nederlands zanger Brood?;Herman
Na hoeveel jaren huwelijk kan je spreken van een gouden jubileum?;50 jaar
Vanuit welk land opereert luchvaartmaatschappij Quantas?;Australië
In welke Vlaamse stad liggen de wijken Eilandje en Kiel?;Antwerpen
Welk voorwerp vergat Moriaantje toen hij ging wandelen?;Hoed
Wie registreerde in 1990 de Amerikaanse film ‘Dances with Wolves’?;Kevin Costner
The Rolling Stones hadden een dikke hit met ‘Symphathy for the ..’?;Devil
In welke eeuw leefde en werkte Keizer Karel?;16de eeuw
Was het nu 70,80 of 90? in België moet je vooraan een autogordel dragen?(Enkel een cijfer);70
In welk bordspel moet een speler de struikrover verzetten telkens hij een zeven gooit?;Kolonisten van Catan
Wie presenteerde het canvas-programma ‘Olalala’?;Siska Schoeters
Welke Romeinse God is de patroon van de wijn, de losbandigheid en de vruchtbaarheid?;Bacchus
Welke typische kleding ontwerpt Murielle Scherre?;Lingerie
Waar had Michail Gorbatsjov een grote wijnvlek?;Voorhoofd
Van welk Europees land was Dominique de Villepin in de nillies premier?;Van Frankrijk
Welk is het enige priemgetal dat tissen 61 en 71 ligt?(Enkel een cijfer);67
Welk dier heet in het engels ‘hippopotamus’?;Nijlpaard
Cryptogram. Welk zeedier helpt tegen jeuk?;Krab
In welk eeuw werd België onafhankelijk?;19de eeuw
Hoeveel keer won Jan Ceulemans de Gouden Schoen?;Driemaal
In welk actuaprogramma van Vier was Christophe Deborsu een van de mede gastheren?;De Kruitfabriek
Van welk groep is het top-100-nummer A white Shade of Pale?;;procul Harum
Op welke datum vieren de inwoners van de USA hun Independence Day?;4 juli
Hoeveel vierkante meter is de oppervlakte van een ruit met diagonalen 5 en 6 meter ?;15 vierkante meter
In welk Europees land pleegde de RAF in de jaren ’70 en ’80 meerdere aanslagen?;Duitsland
In welke Nederlands stad ligt het Thialf-stadion waar schaatswedstrijden doorgaan?;Heerenveen
Welke voetballer ontving begin 2013 voor de vierde maal op rij de Gouden Bal?;Lionel Messi
In welk land wordt Oscar Pistorius berecht?;Zuid-Afrika
Welk getal is de vierkantswortel van 81?(Enkel een cijfer);9
Voor welk partij was Leo Delcroix minister van landsverdedeging in de Federale regering?;CVP
Hoe wordt de verblijfplaats van een das genoemd?;Burcht
Hoe heet het kasteel dat in de kuifje-albums vaak ter sprake komt?;Molensloot
Welke renner uit Baal was zowel in 2009 als in 2012 wereldkampioen veldrijden?;Niels Albert
Waar precies in het menselijk lichaam bevindt zich de buis van eustachius?;Oor
In welke Vlaamse stad liggen de wijken Godsheide en Banneuxwijk?;Hasselt
In welk jaar brak de Franse revolutie uit?;1789
Welk getal is drie tientallen en vier eenheden groter dan veertig?(Enkel een cijfer);74
Welke kleur heeft een smaragd?;Groen
In welk land ben je als je in Dubrovnik op een terras een pintje drinkt?;Kroatië
Wat is de voornaam van de echtgenote van Jean-Luc Dehaene?;Celie
Hoe wordt een rok die door ballerina’s wordt gedragen vaak genoemd?;Tutu
Welk menselijk orgaan kan ontstoken geraken door nifritis?;Nieren
In welk land ligt Estoril, een stad met een autocircuit?;Portugal
Van welk stripheld is olijfje het vriendinnetje?;Popeye
Hoeveel zijden heeft een trapezium?(Enkel een cijfer);4
Welk dier komt voor in het logo van het Wereld Natuur Fonds?;Panda
Welke land speelde op 12 juni 2014 de openingsmatch van het WK tegen Brazilië?;Kroatië
Hoe wordt de bordelenbuurt in Gent gemeenzaam genoemd?;Glazen straatje
Hoeveel teelballen heeft een volwassen man?(Enkel een cijfer);2
In welk kaasland moet je zijn als je verse, authentieke Boursin wil kopen?;Frankrijk
In welk land ben je als je zonet de Aconcagua bedwong?;Argentinië
Nicolas Cage speelde in 1995 de rol van Ben Sanderson in de film ‘Leaving .. ‘?;Leaving Las Vegas
In welk Vier-programma deelt Otto-Jan Ham dagelijks een Twittertegel uit?;De Ideale Wereld?
Hoe heten de dikke schillen waaruit een ajuin is opgebouwd?;Rokken
Wat is de voornaam van de vader van minister Freya Van den Bossche?;Luc
Wat is de som van de ogen op drie volledige dobbelstenen?(Enkel een cijfer);63
Een vierkant heeft een oppervlakte van 64 vierkante meter. Hoelang is elke zijde?(Enkel een cijfer);8
In welk kaasland moet je zijn als je verse, authentieke Gorgonzola wil kopen?;Italië
Van welke partij was Vera Dua tussen 2003 en 2007 de voorzitster?;Groen
Wat kan volgens het spreekwoord niet altijd gespannen staan?;Boog
De vezels van welke plant gebruikt men om linnen mee te maken?;Vlas
Van welk Europees land is Mariano Rajoy momenteel de regeringsleider?;Spanje
Van welk Europees land was Kurt Waldheim tussen 1986 en  1992 de president?;Oostenrijk
Hoe heet tegenwoordig het Aziatisch land Siam?;Thailand
Wie presenteerde samen met Henk Rijckaert het Canvas-programma ‘Zonde van de Zendtijd’?;Bert Gabriëls
Van welk Europees land was Gordon Brown een tijdlang premier?;Verenigd Koningrijk
Hoeveel hoeken heeft een trapezium?(Enkel een cijfer);4
Het boek dat The Beckman in 1973 schreef heet ‘Kruistocht in .. ‘?;Spijkerbroek
Hoe noemt men de denkbeeldige lijnen die plaatsen met gelijke luchtdruk met elkaar verbinden?;Isobaren
Wie regisseerde in 1997 de topfilm ‘Titanic’?;James Cameron
Het jungleboek. Welk soort dier is Akela?;Wolf
Wat was de naam van het denkbeeldige meisje aan wie Anne Frank haar brieven schreef?;Kitty
Welke nationaliteit had paus Johannes XXIII?;Italiaanse
Wie speelde in ‘The broken Circle Breakdown’ de rol van Didier?;Johan Heldenbergh
Wat is de superlatief van het bijvoeglijk naamwoord ‘weinig?;Minst
Welke Sven presenteerde in 2014 het canvas-programma ‘De canvascrack’?;Sven Speybrouck
Hoe heet de zoon van sportcommentator Karl Vannieuwkerke?;Jef
In welk jaar vond in Nederland de grote waternoodramp plaats?;1953
Hoeveel lettergrepen telt het woord ‘spijsverteringsstelsel’?(Enkel een cijfer);6
Welke advocaat verdedigde begin 2013 Kim de Gelder?;Haentjens
Hoe heet de vrouw van Fred Flinstone?;Wilma
Hoeveel spenen heeft de uier van een geit?(Enkel een cijfer);twee
In welke Vlaamse stad is Bradley Wiggins in 1980 geboren?;Gent
Wat is de voornaam van de gevierde Belgische modeontwerper Simons?;Raf
Wat was het precieze beroep van Ruud Gullit?;Voetballer
Welke Vlaamse regisseur was eindverantwoordelijk voor de film’Dossier K.’?;Jan Verheyen
Welke Michel was van 1994 tot en met 1999 keeper voor het Portugese Benfica?;Michel Preud’homme
Welke snoepgoed wordt soms in een fles cola gedaan om een fontein te creëren?;Mentos
Wie volgde Hillary Clinton op als Amerikaanse Minister van Buitenlandse Zaken?;John Kerry
Van welke provinciehoofdstad begint het postnummer met de cijfer 2?;Antwerpen
In welke Europese hoofdstad trekt elke twee jaar de Zinneke-parade door de straten?;Brussel
Hoeveel lettergrepen telt het woord ‘spiegelreflexcamera’?;Zeven
In welke stripreeks spelen Theofiel en Marie belangrijke rollen?;Jommeke
Hoe wordt het Romeins bestuursapparaat van de paus genoemd?;Curie
Welke componist werd in 1685 in het Duitse Eisenach geboren?;Johann Sebastiaan Bach
In de zomer van 2013 kregen de Obama’s een nieuwe hond. Hoe heet hij?;Sunny
Welke vulling zit in een Bounty-reep?;Kokos
In welk Aziatisch land ligt de bij ons bekende stad Kunduz?;Afghanistan
Welke supermarktketen brengt het tv-blad ‘TV-Compact’ op de markt?;Aldi
in welke West-Vlaamse gemeente werd zangeres Lucy Loes geboren?;Oostende
Op elk Frans eiland startte vorig jaar de 100ste Ronde van Frankrijk?;Corsica
Wie tekende de stripverhalen ‘De sterrenplukkers’ en ‘Het zingende nijlpaard’?;Willy Vandersteen
Hoeveel ribben heeft een balk?;Twaalf
In welk Vlaamse stad vind je de wijken Marollen en Matogne?;Brussel
Geef een ander woord voor een koprol in de lucht?;Salto
Hoeveel letters telt het IQ-woord ‘Consensusverwachting’?;Twintig
Van welk land is Mahmoud Abbas de president?;Palestina
In welke Amerikaanse stad werd John F. Kennedy in 1963 vermoord?;Dallas
Waarvan is het huisje van de heks die Hans en Grietje ontmoeten gemaakt?;Perperkoek
Welke rivier stroomt door Lyon?;Rhône
Welke zanger had in 1971 een superhit met het nummer ‘Zomersproetjes’?;Rocco Granata
Waarvoor staat de F in GFT-afval?;Fruit
Hoeveel is het quotiënt van de getallen 81 en 9?;9
Hoeveel poten heeft een schorpioen?;Acht
Dagelijkse Kost met Jeroen Meus is een programma van ‘Hotel..’?;Hungaria
In welke land ligt de hoofdzetel van Nestlé?;Zwitserland
Welke groenten wordt ook cresonnette genoemd?;Tuinkers
Aan welke stad link je Helmut Lotti en Katja Retsin haast automatisch?;Gent
In 1993 speelde Tom Hanks de rol van Sam Baldwin in de film ‘Sleepless in ..’?;Seattle
In welk land werd kunstschilder Salvator Dali geboren?;Spanje
Wat is volgens Wikipedia het beroep van Arnon Grunberg?;Schrijver
Wat is de familieband tussen Jean-Jaques en Karel De Gucht?;Zoon
In welke gemeenten kruisen de E314 en de E313 elkaar?;Lummen
Welke Belgische schaatser eindigde in 2013 in Moskou derde in het WK-eindklassement?;Bart Swings
Welke spaanse schilder schilderde het werk ‘Guernica’ over de spaanse burgeroorlog?;Pablo Picasso
Hoe heette in de Griekse mythologie de veelkoppige hellehond?;Cerberus
Van welke Engelse popgroep was Phil Collins de zanger?;Genesis
Welk getal zit verborgen in het woord ‘vanzelfsprekend’?;elf
Welke nationaliteit had filosoof Karl Marx?;Duitse
Welke van de 7 wereldwonderen kan je nu nog gaan bezoeken?;De piramide van Cheops
Welke is de 19de letter van het alfabet?;s
In welk Oost-Vlaamse gemeente ligt de Minardschouwburg?;Gent
Hoeveel is 75 procent van 400?;300
Welke groep had in 1992 een hit met het nummer ‘Jeroen Brouwers schrijft een boek’?;De Mens
Bij welke rechter moet je zijn voor een dwaze burenruzie?;Vrederechter
Wat was de voornaam van de vader van Mark Eyskens?;Gaston
Welke tv-presentator schreef het boek ‘Groenland’?;Bartel Van Riet
Welke vier letters staan bij de meeste gsm’s op de toets met het cijfer zeven?;p,q,r,s
Welke vlaamse kunstenaar tatoeëerde varkens?;Wim Delvoye
Welk land grenst aan de oostgrens van Nederland?;Duitsland
In welke stripreeks verscheen het album ‘De kaart van Wawa Wang’?;Jommeke
Wie speelde in de één-reeks ‘in vlaamse Velden’ de rol van jufrouw Blommaert?;Tine Embrechts
Hoeveel jaren gaan er in een eeuw?;100
Welk weekblad organiseert jaarlijks de Rock Rally?;Humo
Tegen welke stad vocht de Romeinse Republiek in de Punische Oorlogen?;Carthago
Wat is het kwadraat van een kwart van zestien?;16
In welke stad kan je door de Liefkenshoektunnel rijden?;Antwerpen
in welke nederlandse stad valt de Amerikaanse trompetist Chet Baker uit een raam?;Amsterdam
In welke stad werd Boris Johnson in mei 2012 herverkozen als burgemeester?;Londen
Hoe heet de frontman van The Scabs?;Guy Swinnen
Met welke wielrenner had Oprah Winfrey op 17 januari 2013 een spraakmakend interview?;Lance Armstrong
Naast waterstof bestaat onze zon hoofdzakelijk uit..?;Helium
Welk Europees land grenst in de buurt van Hamburg aan Duitsland?;Denemarken
In welke Vlaamse stad vond in 2009 Music For Life op het Woodrow Wilsonplein plaats?;Gent
In welke nederlandse provincie wordt de Amstel Gold Race jaarlijks gereden?;Limburg
In welke stripreeks verscheen het album ‘De Bosbollebozen’?;Suske en Wiske
Welke Vlaamse schrijver is verantwoordelijk voor het boek ‘De Kapellekensbaan’?;Boon
Van welke politieke partij is Gerolf Annemans de voorzitster?;Vlaams Belang
Welk nationaal elftal wordt in de pers ook wel ‘Les Blues’ genoemd?;Frankrijk
In welke taal worden encyclieken, pauselijke brieven, meestal opgesteld?;Latijn
Bij welke Vlaamse popgroep was Ben Crabbé jarenlang de drummer?;De Kreuners
Op welke radiozender presenteren Koen Fillet en Xavier Taveirne?;Radio 1
In welke televisiereeks speelt de Deense Sidse Babett Knudsen de hoofdrol?;Borgen
Pauw en Witteman. Wat is de voornaam van presentator Witteman?;Paul
Kleding. Welk dier komt voor in het logo van Lacoste?;Krokodil
Welke letter is de 20ste letter van ons alfabet?;t
In welk Amerikaanse stad vielen tijdens de marathon van 15 april 2013 drie doden bij twee bomaanslagen?;Boston
In welk Limburgse stad werd Axelle Red in 1986 geboren?;Hasselt
In welke Baltische staat kan je sinds 1 januari 2014 met de Euro betalen?;Letland
In welke Vlaamse stad wordt ‘Suikerrock’ georganiseerd?;Tienen
In welke film van Geoffrey Enthoven speelt Tom Audenaert de rol van de bijna volledig blinde Jozef?;Hasta la vista
In welke stripreeks verscheen het album ‘Het gefoefel met de zak’?;Urbanus
In welke maand begon het WK van 2014?;Juni
Uit hoeveel letters bestaat de voornaam van de vriendin van Tom Boonen?;Vier
Welke typische kleur hebben de bloemblaadjes van het sneeuwvlokje?;Wit
Welke Hilde regisseerde de Vlaamse film ‘De Kus’?;Van Mieghem
Haemers was een van de bekendste Belgische misdadigers. Wat was zijn voornaam?;Patrick
Wanneer werd nieuwslezer Danny Verstraeten geboren? Jaren 50, 60 of 70?;50
Op welke radiozender presenteren Annemie Peeters en Evert Venema?;Radio 1
Welke Waalse Provincie grenst aan Duitsland en Nederland?;Luik
In welk land werd componist Johann Sebastian Bach geboren?;Duitsland
Welke nationaliteit hebben de meeste mensen die op het eiland Capri wonen?;Italiaanse
In welke Amerikaanse stad ligt de hoofdzetel van het IMF?;Washington
Welk getal ligt net in het midden tussen 37 en 47?;42
Welk automerk brengt zowel de Hilux als de Yaris op de markt?;Toyota
Welk cartoonist gaf Garfield een leven?;Jim Davis
In welke Europese hoofdstad kan je een rondvaart op de Tiber maken?;Rome
Hoeveel verschillende sacramenten kent de katholieke Kerk?;zeven
Wie maakt al meer dan dertig jaar Dovy-keukens alsof ze voor hem zelf zouden zijn?;Donald Muylle
Vul de titel van het boek van Gabriel García Márquez aan. Liefde in tijden van..?;Cholera
Welke nederlandse groep had een hit met ‘Radar Love’?;Golden Earring
Wie stond in 1988 in de hitparade met ‘Gimme Hope Jo’anna’?;Eddy Grant
In ’88 vonden de Winterspelen plaats in Calgary. In welk land ligt Calgary?;Canada
Voor welke typische bouwstijl stond Victor Horta gekend?;Art Nouveau
In welk land leefde Gabriel Garcia Marquez de schrijver van ‘Liefde in tijden van cholera’?;Colombia
Land, zee of in de lucht? Waar leeft een winterkoninkje?;Lucht
Welke Britse rockgroep had in 20008 een hit met het nummer ‘Viva la vida’?;Coldplay
In welke maand wordt jaarlijks de actie ‘movember’ georganiseerd om aandacht aan prostaatkanker te geven?;November
Hoeveel Oscars had Alfred Hitchcock op zijn schouw staan?;Geen
Wat is de naam van de nederlandse zusterpartij van CD&V?;CDA
Van welke provinciehoofdstad begint het postnummer met het cijfer 3?;Leuven
Welke amerikaanse rockband had hits met ‘Drive’ en ‘Losing my religion’?;R.E.M
Uit hoeveel cijfers bestaat een pincode?;vier
Welke nationaliteit had Alfred Nobel, De uitvinder van het dynamiet?;Zweedse
Hoe heet de organisator van de Memorial Ivo Van Damme?;Meert
Van welk bedrijf werd Dominique Leroy in 2014 de nieuwe CEO?;Belgacom
Monopoly. Op het oorspronkelijke spelbord ligt een Huidevetterstraat. In welke stad?;Antwerpen
In welke Vlaamse provinciehoofdstad werd Jan Becaus in 1948 geboren?;Gent
Welke Tom presenteert op VTM het programma ‘Stadion’?;Coninx
In welke vlaamse stad werden zowel Matteo Simoni als Stijn Stijnen geboren?;Hasselt
Marsman is een televisieprogramma van productiehuis ‘Sultan..’?;Sushi
Welke Els is de zangeres van de electronicagroep ‘Vive la Fete’?;Els Pynoo
In 2000 werd Joël Smets Belgisch sportman van het jaar. In welke discipline?;Motorcross
Hoeveel diagonalen kan je in een rechthoek tekenen?(Enkel een cijfer);2
In welke vlaamse stad startte in 2014 de Ronde van Vlaanderen?;Brugge
Op welke specifieke manier kwam John Denver aan zijn einde?;Vliegtuigongeval
In welke vlaamse stad viel in 2012 het doek over discotheek Versuz?;Hasselt
De inwoners van welke Belgische stad worden Kiekenfretters genoemd?;Brussel
Wat is de voornaam van de cafe-uitbater in de televisiereeks ‘Allo Allo’ ?;René
Van welke tekenfilmfiguur is Bluto een gewelddadige tegenstander?;Popeye
In welke godsdienst wordt het paasfeest ‘Pesach’ genoemd?;Jodendom
Vul aan. Arvo Part componeerde ‘Stabat..?;Mater
Van welke presentator is Ella Leyers de dochter?;Jan Leyers
Welk virtueel ontwerp heb je in Angry Birds nodig om vogels te kunnen lanceren?;Katapult
Welke bloem staat in het logo van het Brussels Hoofdstedelijk Gewest afgebeeld?;Iris
Hoe heet de Amerikaanse minister van Buitenlandse zaken?;John Kerry
In welke Vlaamse stad ligt Pater Damiaan begraven?;Leuven
Welke Tom schreef het boek ‘Het goddelijke monster’?;Lanoye
Wat zijn de clubkleuren van het Portugese club Benfica?;Rood en wit
Welke klassieke componist staat in de Klara top 100 met ‘De vier seizoenen’?;Antonio Vivaldi
Op welk instrument wordt een quatre-mains gespeeld?;Piano
Wat was de naam van de ijsbeer die in een Berlijnse zoo door zijn moeder werd verstoten?;Knut
Op welke radiozender presenteren Tom De Cock en Ann Reymen?;MNM
Op welke radiozender presenteren Karolien Debecker en Peter Van de Veire?;MNM
Wie had in de zomer van 2013 een dikke hit met het nummer ‘Formidable’?;Stromae
In welke spaanse stad kan je de Sagrada Familia gaan bewonderen?;Barcelona
In welk Europees land werd de politieke fictiereeks Borgen opgenomen?;Denemarken
Van welke politieke partij was Bruno Valkeniers ooit voorzitter?;Vlaams Belang
Wie presenteerde op Vijf het programma ‘Zo man, zo vrouw’?;Jani Kazaltzis
Hoe noemt men – met een Latijnse benaming – een eeuwigdurende beweging?;Perpetuum mobile
Hoe heet de organisator van de Memorial Ivo Van Damme ?;Meert
Welk land stond tot 1991 bekend als CCCP?;Rusland
Hoe heet het bekendste plein in Venetië ?;San Marcoplein
Uit welke twee kleuren is het logo van facebook opgebouwd?;Blauw en wit
Wat is de voornaam van de vrouw van Marcel Kiekeboe?;Charlotte
Welk dier wordt in het duits een ‘Schmetterling’ genoemd?;Vlinder
Wat is de officiële taal die schermers gebruiken ?;Frans
Bij welk soort afval sorteer je aardappelschillen?;GFT
